@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute sheepposition {inside, outside, middle}
@attribute bossposition {inside, outside}
@attribute updown {up, down}

@data
0.5246656,15.6021,7.947327,inside,outside,up
0.4948383,29.83012,5.904042,inside,outside,up
0.8937962,29.9398,28.14165,outside,outside,up
0.702706,41.56896,7.985476,middle,outside,up
0.1029308,40.03418,7.027709,inside,outside,up
0.4725132,20.94911,5.062434,inside,outside,up
0.4733153,45.42967,18.84933,outside,outside,up
1,18.95093,18.72785,outside,outside,up
0.4392531,20.41219,7.430093,outside,outside,up
0.699062,14.31077,7.877387,inside,outside,up
0.1387122,35.18428,8.930508,inside,outside,up
0.4050478,54.88175,9.397468,outside,outside,up
0.4826149,13.88717,5.260361,inside,outside,up
0.4200347,21.31149,8.154906,inside,outside,up
0.4392531,20.82144,2.271047,outside,outside,up
0.3590755,36.57802,29.35662,outside,outside,up
0.4155716,37.80843,11.52486,outside,outside,up
0.6595179,5.255497,16.68876,outside,outside,up
0.9571596,28.46551,12.376,outside,outside,up
0.3245696,27.83964,7.072133,inside,outside,up
0.3728337,38.14328,12.56331,outside,outside,up
0.6827891,17.55136,5.762403,inside,outside,up
0.1115426,17.35239,1.213449,inside,outside,up
0.3040504,15.36269,1.188135,inside,outside,up
0,21.08018,2.892589,inside,outside,up
0.7960104,13.7859,3.589768,inside,outside,up
0.3042193,45.84865,8.684811,outside,outside,up
0.718752,5.990172,10.13125,middle,outside,up
0.5066479,67.04801,21.35499,outside,outside,up
0.4042863,9.321536,1.444261,inside,outside,up
0.5164195,29.90719,12.96105,outside,outside,up
0.2945516,18.07443,6.715352,inside,outside,up
0.6726115,11.42275,6.211795,inside,outside,up
0.3384337,18.15398,11.89586,outside,outside,up
0.5164195,29.90719,12.96105,outside,outside,up
0.1252395,44.46424,5.52339,inside,outside,up
0.9073651,4.483375,7.45224,inside,outside,up
0.2258534,35.15112,5.370799,inside,outside,up
0.616847,15.17193,22.12923,outside,outside,up
0.4254546,16.72234,3.667147,inside,outside,up
0.6291587,4.923134,6.115104,inside,outside,up
0.454739,28.0086,18.51542,outside,outside,up
0.09489562,18.0638,1.854145,inside,outside,up
0,26.10592,8.13414,inside,outside,up
0.6405494,18.68188,8.620978,outside,outside,up
0,41.69026,8.691976,middle,outside,up
0.3040504,15.36269,1.188135,inside,outside,up
0.8561503,30.47593,16.85189,outside,outside,up
0.4839764,25.06126,1.262128,inside,outside,up
0.4010768,22.42997,2.61026,inside,outside,up
0.5120305,25.45848,3.123307,inside,outside,up
0.583454,19.3411,3.789446,inside,outside,up
0.7072282,43.22357,17.2936,outside,outside,up
0,42.7127,2.490807,inside,outside,up
0.5266851,57.17035,20.36375,outside,outside,up
0.4588142,19.74407,17.3843,outside,outside,up
1,20.93839,15.20791,outside,outside,up
0.5557595,17.78651,12.6197,outside,outside,up
0.4250602,46.99461,12.3992,outside,outside,up
0.4155716,37.80843,11.52486,outside,outside,up
0.8183627,23.35485,14.22848,outside,outside,up
0.3354725,33.88083,3.014524,outside,outside,up
0.8175784,23.77669,7.802168,inside,outside,up
0.7174933,19.27702,2.009835,inside,outside,up
1,45.01011,1.217744,outside,outside,up
1,47.0664,11.38647,outside,outside,up
0.673946,43.79248,11.58924,outside,outside,up
0.7159041,58.28748,9.849269,outside,outside,up
0.171755,40.96228,8.074966,inside,outside,up
0.4392531,12.79248,10.67316,outside,outside,up
0,41.69026,8.691976,middle,outside,up
0.2589386,38.94741,21.33093,outside,outside,up
0.6603545,13.7155,21.26582,outside,outside,up
0.8937962,29.9398,28.14165,outside,outside,up
0.5854313,19.7297,6.178197,inside,outside,up
0.5736615,45.21553,20.47254,outside,outside,up
0.9073651,4.483375,7.45224,inside,outside,up
0.7287247,22.39543,4.78542,inside,outside,up
0.5915514,41.23328,4.966114,outside,outside,up
0.7413885,26.55628,8.445664,outside,outside,up
0.807534,41.71443,14.78949,outside,outside,up
1,37.61477,12.32567,outside,outside,up
0.5594469,14.5637,16.956,outside,outside,up
0.7922494,36.97124,15.50065,outside,outside,up
0.2298816,50.2065,18.19135,outside,outside,up
0.6890474,21.72701,5.819105,inside,outside,up
0.41802,31.20363,11.20374,middle,outside,up
0.2580571,31.47095,15.33612,outside,outside,up
0.6248898,29.28008,1.032919,inside,outside,up
1,22.32354,4.55652,outside,outside,up
0.1872556,49.28715,1.855963,inside,outside,up
0.7287247,18.58189,7.544311,inside,outside,up
0.2722907,32.99711,8.559338,inside,outside,up
0.1588577,45.86322,18.74215,outside,outside,up
1,45.90159,16.94164,outside,outside,up
0.094024,9.775229,4.28017,inside,outside,up
0.9617922,18.80755,15.25462,outside,outside,up
0.7610689,14.81528,27.23621,outside,outside,up
0.501599,37.97969,2.297802,inside,outside,up
0.4113706,8.450129,7.307096,inside,outside,up
0.7287247,22.39543,4.78542,inside,outside,up
0.3908964,43.38464,9.73866,outside,outside,up
0.2808994,20.39747,5.958656,inside,outside,up
0.9333112,41.16621,16.76457,outside,outside,up
0.2717075,43.28135,10.22821,outside,outside,up
0.5727925,36.96193,12.20887,outside,outside,up
0.5354902,25.13124,10.50164,outside,outside,up
0.9382954,37.23003,1.193362,outside,outside,up
0.5281965,4.534923,7.161155,inside,outside,up
0.5258472,49.20937,11.90096,outside,outside,up
0.5246656,15.6021,7.947327,inside,outside,up
0.094024,18.73231,5.977347,inside,outside,up
0.5825756,12.46686,3.971249,inside,outside,up
0.5120305,27.82551,4.57661,inside,outside,up
0.4948383,29.83012,5.904042,inside,outside,up
0.3384337,26.62405,3.436794,outside,outside,up
0.6125499,26.44642,5.688338,inside,outside,up
0.9328894,35.66504,7.758051,outside,outside,up
0.616847,23.3735,14.07845,outside,outside,up
0.7610689,14.81528,27.23621,outside,outside,up
0.7293849,66.7527,16.78385,outside,outside,up
0.8378835,35.62481,8.752401,outside,outside,up
0.7931129,43.36479,16.30825,outside,outside,up
